Machine,Batch,Step,Comp,Tool,From,To,Dist,Switch
M3,11,Pick65,E,E7,"(6, 0)","(6, 0)",0.0,1
M3,11,Plc66,D,E9,"(6, 0)","(3, 5)",5.83,1
M3,11,Plc67,E,E5,"(3, 5)","(1, 8)",3.61,1
M3,11,Plc68,E,E7,"(1, 8)","(1, 7)",1.0,1
M3,11,Return69,-,E7,"(1, 7)","(0, 0)",7.07,0
M3,12,Pick70,E,E5,"(0, 0)","(6, 0)",6.0,1
M3,12,Pick71,J,E7,"(6, 0)","(11, 0)",5.0,1
M3,12,Plc72,E,E5,"(11, 0)","(12, 5)",5.1,1
M3,12,Plc73,J,E7,"(12, 5)","(11, 7)",2.24,1
M3,12,Return74,-,E7,"(11, 7)","(0, 0)",13.04,0
